id,name,domain,website,country
69,Universitas Islam Sumatera Utara,uisu.ac.id,http://www.uisu.ac.id/,Indonesia
70,Universitas Kristen Duta Wacana,ukdw.ac.id,http://www.ukdw.ac.id/,Indonesia
71,Universitas Kristen Indonesia,uki.ac.id,http://www.uki.ac.id/,Indonesia
72,Universitas Kristen Indonesia Tomohon,ukit-tomohon.org,http://www.ukit-tomohon.org/,Indonesia
73,Universitas Kristen Krida Wacana,ukrida.ac.id,http://www.ukrida.ac.id/,Indonesia
74,Universitas Kristen Satya Wacana,uksw.edu,http://www.uksw.edu/,Indonesia
75,Universitas Muslim Indonesia,umi.ac.id,http://www.umi.ac.id/,Indonesia
76,Universitas Methodist Indonesia,umi-mdn.edu,http://www.umi-mdn.edu/,Indonesia
77,Universitas Muhammadiyah Jakarta,umj.ac.id,http://www.umj.ac.id/,Indonesia
78,Universitas Muria Kudus,umk.ac.id,http://www.umk.ac.id/,Indonesia
79,Universitas Muhammadiyah Malang,umm.ac.id,http://www.umm.ac.id/,Indonesia
80,Universitas Muhammadiyah Magelang,ummgl.ac.id,http://www.ummgl.ac.id/,Indonesia
81,Universitas Muhammadiyah Sidoarjo,umsida.ac.id,http://www.umsida.ac.id/,Indonesia
82,Universitas Muhammadiyah Surakarta,ums.ac.id,http://www.ums.ac.id/,Indonesia
83,Universitas Muhammadiyah Sumatra Utara,umsu.ac.id,http://www.umsu.ac.id/,Indonesia
84,Universitas Muhammadiyah Yogyakarta,umy.ac.id,http://www.umy.ac.id/,Indonesia
85,Universitas Advent Indonesia,unai.edu,http://www.unai.edu/,Indonesia
86,Universitas Airlangga,unair.ac.id,http://www.unair.ac.id/,Indonesia
87,Universitas Andalas,unand.ac.id,http://www.unand.ac.id/,Indonesia
88,Universitas Nasional Jakarta,unas.ac.id,http://www.unas.ac.id/,Indonesia
89,Universitas Cenderawasih,uncen.ac.id,http://www.uncen.ac.id/,Indonesia
90,Universitas Nusa Cendana,undana.ac.id,http://www.undana.ac.id/,Indonesia
91,Universitas Diponegoro,undip.ac.id,http://www.undip.ac.id/,Indonesia
92,Universitas Jember,unej.ac.id,http://www.unej.ac.id/,Indonesia
93,Universitas Negeri Surabaya,unesa.ac.id,http://www.unesa.ac.id/,Indonesia
94,Universitas Negeri Gorontalo,ung.ac.id,http://www.ung.ac.id/,Indonesia
95,Universitas Haluoleo,unhalu.ac.id,http://www.unhalu.ac.id/,Indonesia
96,Universitas Amir Hamzah,unhamzah.ac.id,http://www.unhamzah.ac.id/,Indonesia
97,Universitas Hasanuddin,unhas.ac.id,http://www.unhas.ac.id/,Indonesia
98,Universitas Bengkulu,unib.ac.id,http://www.unib.ac.id/,Indonesia
99,Universitas Bojonegoro,unigoro.ac.id,http://www.unigoro.ac.id/,Indonesia
100,Universitas Katolik Soegijapranoto,unika.ac.id,http://www.unika.ac.id/,Indonesia
101,Universitas Pekalongan,unikal.ac.id,http://www.unikal.ac.id/,Indonesia
102,Universitas Kediri,unik-kediri.ac.id,http://www.unik-kediri.ac.id/,Indonesia
103,Universitas Komputer Indonesia,unikom.ac.id,http://www.unikom.ac.id/,Indonesia
