state-province,domains,country,alpha_two_code,name,web_pages
,['ubm.ac.id'],Indonesia,ID,Universitas Bunda Mulia Jakarta,['http://www.ubm.ac.id/']
,['uda.ac.id'],Indonesia,ID,Universitas Darma Agung,['http://www.uda.ac.id/']
,['ugm.ac.id'],Indonesia,ID,Universitas Gadjah Mada,['http://www.ugm.ac.id/']
,['ui.ac.id'],Indonesia,ID,Universitas Indonesia,['http://www.ui.ac.id/']
,['uii.ac.id'],Indonesia,ID,Universitas Islam Indonesia,['http://www.uii.ac.id/']
,['uika-bogor.ac.id'],Indonesia,ID,Universitas Ibn Khaldun Bogor,['http://www.uika-bogor.ac.id/']
,['uinjkt.ac.id'],Indonesia,ID,Universitas Islam Jakarta,['http://www.uinjkt.ac.id/']
,['uir.ac.id'],Indonesia,ID,Universitas Islam Riau,['http://www.uir.ac.id/']
,['uisu.ac.id'],Indonesia,ID,Universitas Islam Sumatera Utara,['http://www.uisu.ac.id/']
,['ukdw.ac.id'],Indonesia,ID,Universitas Kristen Duta Wacana,['http://www.ukdw.ac.id/']
,['uki.ac.id'],Indonesia,ID,Universitas Kristen Indonesia,['http://www.uki.ac.id/']
,['ukit-tomohon.org'],Indonesia,ID,Universitas Kristen Indonesia Tomohon,['http://www.ukit-tomohon.org/']
,['ukrida.ac.id'],Indonesia,ID,Universitas Kristen Krida Wacana,['http://www.ukrida.ac.id/']
,['uksw.edu'],Indonesia,ID,Universitas Kristen Satya Wacana,['http://www.uksw.edu/']
,['umi.ac.id'],Indonesia,ID,Universitas Muslim Indonesia,['http://www.umi.ac.id/']
,['umi-mdn.edu'],Indonesia,ID,Universitas Methodist Indonesia,['http://www.umi-mdn.edu/']
,['umj.ac.id'],Indonesia,ID,Universitas Muhammadiyah Jakarta,['http://www.umj.ac.id/']
,['umk.ac.id'],Indonesia,ID,Universitas Muria Kudus,['http://www.umk.ac.id/']
,['umm.ac.id'],Indonesia,ID,Universitas Muhammadiyah Malang,['http://www.umm.ac.id/']
,['ummgl.ac.id'],Indonesia,ID,Universitas Muhammadiyah Magelang,['http://www.ummgl.ac.id/']
,['umsida.ac.id'],Indonesia,ID,Universitas Muhammadiyah Sidoarjo,['http://www.umsida.ac.id/']
,['ums.ac.id'],Indonesia,ID,Universitas Muhammadiyah Surakarta,['http://www.ums.ac.id/']
,['umsu.ac.id'],Indonesia,ID,Universitas Muhammadiyah Sumatra Utara,['http://www.umsu.ac.id/']
,['umy.ac.id'],Indonesia,ID,Universitas Muhammadiyah Yogyakarta,['http://www.umy.ac.id/']
,['unai.edu'],Indonesia,ID,Universitas Advent Indonesia,['http://www.unai.edu/']
,['unair.ac.id'],Indonesia,ID,Universitas Airlangga,['http://www.unair.ac.id/']
,['unand.ac.id'],Indonesia,ID,Universitas Andalas,['http://www.unand.ac.id/']
,['unas.ac.id'],Indonesia,ID,Universitas Nasional Jakarta,['http://www.unas.ac.id/']
,['uncen.ac.id'],Indonesia,ID,Universitas Cenderawasih,['http://www.uncen.ac.id/']
,['undana.ac.id'],Indonesia,ID,Universitas Nusa Cendana,['http://www.undana.ac.id/']
,['undip.ac.id'],Indonesia,ID,Universitas Diponegoro,['http://www.undip.ac.id/']
,['unej.ac.id'],Indonesia,ID,Universitas Jember,['http://www.unej.ac.id/']
,['unesa.ac.id'],Indonesia,ID,Universitas Negeri Surabaya,['http://www.unesa.ac.id/']
,['ung.ac.id'],Indonesia,ID,Universitas Negeri Gorontalo,['http://www.ung.ac.id/']
,['unhalu.ac.id'],Indonesia,ID,Universitas Haluoleo,['http://www.unhalu.ac.id/']
,['unhamzah.ac.id'],Indonesia,ID,Universitas Amir Hamzah,['http://www.unhamzah.ac.id/']
,['unhas.ac.id'],Indonesia,ID,Universitas Hasanuddin,['http://www.unhas.ac.id/']
,['unib.ac.id'],Indonesia,ID,Universitas Bengkulu,['http://www.unib.ac.id/']
,['unigoro.ac.id'],Indonesia,ID,Universitas Bojonegoro,['http://www.unigoro.ac.id/']
,['unika.ac.id'],Indonesia,ID,Universitas Katolik Soegijapranoto,['http://www.unika.ac.id/']
,['unikal.ac.id'],Indonesia,ID,Universitas Pekalongan,['http://www.unikal.ac.id/']
,['unik-kediri.ac.id'],Indonesia,ID,Universitas Kediri,['http://www.unik-kediri.ac.id/']
,['unikom.ac.id'],Indonesia,ID,Universitas Komputer Indonesia,['http://www.unikom.ac.id/']
,['unila.ac.id'],Indonesia,ID,Universitas Lampung,['http://www.unila.ac.id/']
,['unilak.ac.id'],Indonesia,ID,Universitas Lancang Kuning,['http://unilak.ac.id/']
,['unima.ac.id'],Indonesia,ID,Universitas Negeri Manado,['http://www.unima.ac.id/']
,['unimed.ac.id'],Indonesia,ID,Universitas Negeri Medan,['http://www.unimed.ac.id/']
,['uninus.ac.id'],Indonesia,ID,Universitas Islam Nusantara,['http://www.uninus.ac.id/']
,['unipdu.ac.id'],Indonesia,ID,Universitas Pesantren Darul Ulum Jombang,['http://www.unipdu.ac.id/']
,['unira.ac.id'],Indonesia,ID,Universitas Madura,['http://www.unira.ac.id/']
,['unisba.ac.id'],Indonesia,ID,Universitas Islam Bandung,['http://www.unisba.ac.id/']
,['unisma.ac.id'],Indonesia,ID,Universitas Islam Malang,['http://www.unisma.ac.id/']
