name,domain,website,country,created_at
Universitas Telkom,telkomuniversity.ac.id,http://www.telkomuniversity.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Klabat,unklab.ac.id,http://www.unklab.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Trisakti,trisakti.ac.id,http://www.trisakti.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Ahmad Dahlan,uad.ac.id,http://www.uad.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Atma Jaya Yogyakarta,uajy.ac.id,http://www.uajy.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Brawijaya,ub.ac.id,http://www.ub.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Surabaya,ubaya.ac.id,http://www.ubaya.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Bhayangkara Surabaya,ubhara.ac.id,http://www.ubhara.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Bhayangkara Jakarta Raya,ubharajaya.ac.id,http://www.ubharajaya.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Bunda Mulia Jakarta,ubm.ac.id,http://www.ubm.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Darma Agung,uda.ac.id,http://www.uda.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Gadjah Mada,ugm.ac.id,http://www.ugm.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Indonesia,ui.ac.id,http://www.ui.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Indonesia,uii.ac.id,http://www.uii.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Ibn Khaldun Bogor,uika-bogor.ac.id,http://www.uika-bogor.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Jakarta,uinjkt.ac.id,http://www.uinjkt.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Riau,uir.ac.id,http://www.uir.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Sumatera Utara,uisu.ac.id,http://www.uisu.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Kristen Duta Wacana,ukdw.ac.id,http://www.ukdw.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Kristen Indonesia,uki.ac.id,http://www.uki.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Kristen Indonesia Tomohon,ukit-tomohon.org,http://www.ukit-tomohon.org/,Indonesia,2024-09-08 21:12:57.011106
Universitas Kristen Krida Wacana,ukrida.ac.id,http://www.ukrida.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Kristen Satya Wacana,uksw.edu,http://www.uksw.edu/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muslim Indonesia,umi.ac.id,http://www.umi.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Methodist Indonesia,umi-mdn.edu,http://www.umi-mdn.edu/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Jakarta,umj.ac.id,http://www.umj.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muria Kudus,umk.ac.id,http://www.umk.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Malang,umm.ac.id,http://www.umm.ac.id/,Indonesia,2024-09-08 21:12:57.011106
